complaint_id,date_received,district_occurrence,general_cap_classification,summary,incident_date_extract,incident_time_extract,objectid
22-0608,2022-12-22 05:00:00+00,1600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-9-22 at 5:15 PM, while in the confines of the 16th District,they allegedan improper entry by an unknown 16th District officer. An officer wanted to enter their home, but the complainant said no because of their dog. The complainant states that the officer then entered the home without their permission.",2022-12-09,05:15 PM,7094
22-0609,2022-12-22 05:00:00+00,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-17-22 at 12:00 PM, while in the confine of the 9th District, they were treated unprofessionally and departmental policies were violated by a 9th District officer. While letting their partner out their vehicle, the officer approached and told them that they could not park there. The officer told them that they were blocking the highway. When the complainant asked if the street was a highway, the officer flung their hand and hit the driver¿s side mirror of the vehicle. The complainant asked the officer to not hit their car. The officer then scanned their license plate. The officer proceeded to walk away. The complainant exited their vehicle and asked the officer for their badge number. The officer continued to walk away.",2022-12-17,12:00 PM,7095
22-0610,2022-12-22 05:00:00+00,0600,LACK OF SERVICE,"According to the complainant, on 12-21-22 at 3:15 PM, while in the confines of the 6th District, they did not receive proper service from a 6th District officer. They were struck by a vehicle. An officer approached and allowed the driver to leave the scene, but told the complainant to wait while the officer checked their information.",2022-12-21,03:15 PM,7096
22-0611,2022-12-27 05:00:00+00,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-08-22, they were released from custody at the 18th District at 5510 Pine Street, and their belongings were not returned to them by unknown officer(s).",2022-12-08,,7097
22-0612,2022-12-27 05:00:00+00,1800,DEPARTMENTAL VIOLATIONS,The complainant alleged that on 12-24-22 at 10:30PM an off-duty officer threatened them and violated departmental policies during a domestic dispute over custody of a child related to them.,2022-12-24,10:30 PM,7098
22-0613,2022-12-28 05:00:00+00,1600,LACK OF SERVICE,The complainant alleges they did not receive proper service from 16th District officers related to an auto accident on 12-22-22.,2022-12-22,,7099
22-0614,2022-12-29 05:00:00+00,1200,HARASSMENT,"According to the complainants, on 12-09-22 at 4:00 PM, while in the confines of the 12th District they were stopped because of a motor vehicle violation, and now they allege they are being harassed by a 12th District officer. The complainant states that the same officer harasses them every time the officer sees them driving their vehicle.",2022-12-09,04:00 PM,7100
22-0615,2022-12-29 05:00:00+00,2200,LACK OF SERVICE,"According to the complainant, on 12-23-22 at 11:22 AM, while in the confines of the 22nd District they contacted police to file report of someone being assaulted in a rooming house. The complainant stated that the officers who responded to the location failed to file a police report. The complainant went to 22nd District to make a report for assault and threats.",2022-12-23,11:22 AM,7101
22-0564,2022-11-25 05:00:00+00,0500,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 11-24-22 at 10:30 AM, while in the confines of the 5th District, they spoke to a supervisor in reference to their stolen vehicle. The complainant states that the supervisor spoke to them disrespectfully and racially profiled them. The complainant states that they called for help and did not receive any assistance.",2022-11-24,10:30 AM,7050
22-0565,2022-11-29 05:00:00+00,0700,LACK OF SERVICE,"According to the complainant, on 11-24-22 at 1:20 PM, their significant other was involved in an auto accident with an off duty officer. The complainant states that the responding officer took statements from the off duty officer and from people on their side first before taking their significant other¿s statement. The complainant states that police also did not take a statement from a witness who said it was the officer¿s fault. The complainant feels that the officer did not handle the situation correctly or professionally.",2022-11-24,01:20 PM,7051
22-0566,2022-11-29 05:00:00+00,1900,PHYSICAL ABUSE,"According to the complainant, on 11-24-22 at 2:00 PM, an officer approached them and began questioning them. The complainant states that they told the officer that they were not going to answer any questions and walked away. The complainant states that the officer then put their hands on them and started to grab them. The complainant again attempted to walk away but the officer grabbed them again. The complainant states that the officer grabbed them three times and this is the second occasion that they have been stopped by the officer on the same day.",2022-11-24,02:00 PM,7052
22-0567,2022-12-06 05:00:00+00,2400,VERBAL ABUSE,"According to the complainant, states on 11-30-22 at 8:45 PM, while in the confines of the 24th District, they were verbally abused by an unknown Highway Patrol officer. They were helping a friend move, and during that time an officer repeatedly yelled at the complainant, ""Move the f*ck*ng car.""",2022-11-30,08:45 PM,7053
